iter	Passed	Remaining
0	25	25929
1	47	23502
2	68	22779
3	86	21569
4	105	20993
5	126	20901
6	145	20655
7	166	20673
8	187	20653
9	207	20515
10	227	20411
11	248	20473
12	268	20384
13	288	20326
14	308	20241
15	328	20211
16	351	20297
17	371	20284
18	391	20207
19	412	20188
20	432	20143
21	451	20070
22	471	20032
23	491	19991
24	512	19985
25	533	19985
26	553	19951
27	573	19898
28	593	19863
29	618	19987
30	647	20230
31	667	20186
32	688	20166
33	709	20171
34	729	20109
35	750	20089
36	771	20072
37	793	20077
38	814	20063
39	834	20025
40	855	20000
41	874	19957
42	894	19917
43	915	19898
44	936	19871
45	956	19836
46	977	19818
47	999	19819
48	1019	19794
49	1039	19759
50	1061	19744
51	1082	19727
52	1101	19679
53	1122	19669
54	1143	19648
55	1164	19632
56	1183	19583
57	1203	19540
58	1223	19508
59	1244	19495
60	1265	19480
61	1285	19446
62	1306	19425
63	1326	19400
64	1347	19378
65	1367	19352
66	1388	19331
67	1411	19343
68	1431	19314
69	1450	19277
70	1472	19272
71	1493	19244
72	1512	19208
73	1533	19188
74	1553	19163
75	1574	19137
76	1593	19103
77	1614	19080
78	1634	19050
79	1655	19034
80	1676	19020
81	1697	19002
82	1718	18984
83	1738	18959
84	1758	18931
85	1778	18897
86	1798	18874
87	1818	18848
88	1839	18827
89	1860	18809
90	1880	18781
91	1900	18754
92	1920	18730
93	1941	18716
94	1960	18677
95	1982	18668
96	2002	18638
97	2022	18617
98	2043	18599
99	2065	18591
100	2086	18568
101	2106	18547
102	2126	18515
103	2144	18479
104	2165	18457
105	2185	18431
106	2206	18416
107	2226	18391
108	2248	18378
109	2267	18343
110	2287	18319
111	2307	18297
112	2327	18269
113	2348	18252
114	2372	18260
115	2393	18243
116	2415	18230
117	2435	18203
118	2454	18169
119	2475	18150
120	2495	18127
121	2515	18099
122	2535	18075
123	2555	18053
124	2575	18025
125	2595	18003
126	2615	17979
127	2638	17971
128	2658	17950
129	2679	17934
130	2700	17913
131	2722	17904
132	2743	17881
133	2764	17864
134	2785	17850
135	2804	17819
136	2825	17795
137	2846	17782
138	2866	17756
139	2887	17734
